date,title,amount
2024-06-01,Dm*Helpmaxcom,17.45
2024-05-27,Netflix Entretenimento,18.90
2024-05-26,Google Storage,7.99
2024-05-13,Decathlon Paulista - Parcela 1/2,88.50
2024-05-09,Saldo restante da fatura anterior,0.00
2024-05-09,Saldo restante da fatura anterior,0.00
2024-05-06,Mercadolivre*Mercadol - Parcela 1/2,24.50
2024-05-05,Via Brasil Continente - Parcela 1/3,46.66
2024-05-05,Decathlon Floripa Cont,69.98
2024-05-05,Hna*Oboticario - Parcela 1/3,118.49
2024-05-04,Pagamento recebido,-1657.81
2024-05-02,Wemobi - Parcela 3/3,145.58
2024-05-02,Bikeprosports - Parcela 2/2,107.50
2024-05-02,Clicktrip*Clicktrip - Parcela 1/4,71.72
2024-05-02,Latam Airlin*Nomyxq018 - Parcela 4/4,509.30
2024-05-02,Jucilene da Silva - Parcela 2/6,120.00
2024-05-02,Wemobi - Parcela 3/3,61.29
2024-05-02,Wemobi - Parcela 3/3,64.86
2024-05-02,Amazon Marketplace - Parcela 4/4,53.07
2024-05-02,Wemobi - Parcela 2/3,42.12
2024-05-02,Wemobi - Mobilidade e - Parcela 3/3,80.46
2024-05-02,Pag Eucatur*Eucatur - Parcela 3/3,38.33
2024-05-02,Gol Linhas A*Mysxqi010 - Parcela 2/2,137.05
